"Gene","p.EMMAX","p.LM","Neg.log10.p.EMMAX","Neg.log10.p.LM","Beta.EMMAX","Beta.LM","Allele.freq","Description","Temperature"
"AT1G26240",0.97430525051567,0.0386988028780846,0.011304957037745,1.41230246938634,-0.0222054603924784,2.37046341800385,0.446680080482897,"Proline-rich extensin-like family protein;(source:Araport11)","10°C"
"AT1G26290",0.304392415571128,4.57286498436989e-07,0.516566172915404,6.33981162114474,1.46951302462423,10.1720366769189,0.0865191146881288,"hypothetical protein;(source:Araport11)","10°C"
"AT1G26510",0.186664672770521,0.49655078955438,0.728937866692311,0.304036323210718,-2.66637354194596,1.62898524783119,0.0603621730382294,"F-box associated ubiquitination effector family protein;(source:Araport11)","10°C"
"AT1G26515",0.418300426459601,0.898712490918859,0.378511692653515,0.04637922214664,0.907768331707601,-0.205779618656025,0.145875251509054,"F-box and associated interaction domains-containing protein;(source:Araport11)","10°C"
"AT1G26530",0.346660650877804,0.450219949720123,0.460095451901391,0.346575264863252,-0.789741228929681,1.01245658371182,0.762575452716298,"PIN domain-like family protein;(source:Araport11)","10°C"
"AT1G26762",0.273931752170395,0.294395571459404,0.562357624580088,0.531068727300604,-0.816813656600936,-1.21467185281095,0.586519114688129,"transmembrane protein;(source:Araport11)","10°C"
"AT1G26780",0.677914065823546,6.46765353871125e-07,0.168825354958864,6.18925325256526,-0.401243273164907,6.92598665171493,0.210261569416499,"Encodes LOF1 (LATERAL ORGAN FUSION1), a MYB-domain transcription factor expressed in organ boundaries.  Functions in boundary specification, meristem initiation and maintenance, and organ patterning. Also see LOF2 (At1g69560).","10°C"
"AT1G26795",0.835002750807988,0.0726907831986173,0.0783120937873415,1.13852065186088,0.368155837015879,-4.68208333287373,0.0503018108651912,"Plant self-incompatibility protein S1 family;(source:Araport11)","10°C"
"AT1G26796",0.172235105596062,0.241055193267946,0.763878324352845,0.617883507685158,1.96339274261993,2.50168533879746,0.0774647887323944,"Plant self-incompatibility protein S1 family;(source:Araport11)","10°C"
"AT1G26797",0.178431504413824,0.328330031170297,0.748528462823554,0.483689392095341,-2.29252773482637,-2.41859896953358,0.0563380281690141,"Plant self-incompatibility protein S1 family;(source:Araport11)","10°C"
"AT1G26798",0.0547394339745186,0.110487342662987,1.26169969766419,0.956687471539729,-3.08040922534835,-3.68167867304678,0.0653923541247485,"Plant self-incompatibility protein S1 family;(source:Araport11)","10°C"
"AT1G26815",0.100767971110603,0.0444991877127644,0.996677485552396,1.35164791654904,-1.33233166750968,-2.3153644162819,0.572434607645875,"FBD domain family;(source:Araport11)","10°C"
"AT1G26890",0.0197860781023374,9.58225468519828e-05,1.70364028094813,4.01853229028164,1.98045337305447,4.57030897351887,0.620724346076459,"FBD, F-box and Leucine Rich Repeat domains containing protein;(source:Araport11)","10°C"
"AT1G26916",0.356068010707012,4.86369761637226e-13,0.448467041763747,12.3130334336578,1.50060659932275,15.8091368719285,0.0714285714285714,NA,"10°C"
"AT1G26921",0.00338309727084519,1.74466910579547e-13,2.47068551519339,12.7582869292514,2.97852050771814,10.4842133862725,0.194164989939638,"hypothetical protein;(source:Araport11)","10°C"
"AT1G26976",0.309234505048231,0.550962373111708,0.509712052541666,0.258878059420333,-1.68485710681997,1.25076586429978,0.0804828973843058,"hypothetical protein;(source:Araport11)","10°C"
"AT1G27008",0.623509048080218,0.00148756448483236,0.205157239855368,2.82752419884321,-0.493103373748469,4.81404936915998,0.170020120724346,"transmembrane protein;(source:Araport11)","10°C"
"AT1G27030",0.226977243043563,0.827362784276307,0.64401768340617,0.0823040180633493,-1.75036188173958,0.539734363736675,0.0563380281690141,"hypothetical protein;(source:Araport11)","10°C"
